,政黨,得票數,得票率,縣市,區
1,合一行動聯盟,54,0.0430,臺北市,松山區
2,中華統一促進黨,147,0.1170,臺北市,松山區
3,親民黨,4947,3.9376,臺北市,松山區
4,安定力量,1041,0.8286,臺北市,松山區
5,台灣基進,2648,2.1077,臺北市,松山區
6,時代力量,10187,8.1085,臺北市,松山區
7,新黨,3284,2.6139,臺北市,松山區
8,喜樂島聯盟,218,0.1735,臺北市,松山區
9,中國國民黨,45629,36.3190,臺北市,松山區
10,一邊一國行動黨,474,0.3773,臺北市,松山區
11,勞動黨,63,0.0501,臺北市,松山區
12,綠黨,4468,3.5564,臺北市,松山區
13,宗教聯盟,122,0.0971,臺北市,松山區
14,民主進步黨,36313,28.9038,臺北市,松山區
15,台灣民眾黨,15352,12.2196,臺北市,松山區
16,台灣維新,67,0.0533,臺北市,松山區
17,台澎黨,29,0.0231,臺北市,松山區
18,國會政黨聯盟,376,0.2993,臺北市,松山區
19,台灣團結聯盟,215,0.1711,臺北市,松山區
22,合一行動聯盟,77,0.0557,臺北市,信義區
23,中華統一促進黨,189,0.1367,臺北市,信義區
24,親民黨,5375,3.8870,臺北市,信義區
25,安定力量,998,0.7217,臺北市,信義區
26,台灣基進,2963,2.1427,臺北市,信義區
27,時代力量,11095,8.0235,臺北市,信義區
28,新黨,3512,2.5397,臺北市,信義區
29,喜樂島聯盟,248,0.1793,臺北市,信義區
30,中國國民黨,51195,37.0222,臺北市,信義區
31,一邊一國行動黨,604,0.4368,臺北市,信義區
32,勞動黨,86,0.0622,臺北市,信義區
33,綠黨,4265,3.0843,臺北市,信義區
34,宗教聯盟,208,0.1504,臺北市,信義區
35,民主進步黨,39414,28.5026,臺北市,信義區
36,台灣民眾黨,17228,12.4586,臺北市,信義區
37,台灣維新,58,0.0419,臺北市,信義區
38,台澎黨,54,0.0391,臺北市,信義區
39,國會政黨聯盟,458,0.3312,臺北市,信義區
40,台灣團結聯盟,255,0.1844,臺北市,信義區
43,合一行動聯盟,103,0.0566,臺北市,大安區
44,中華統一促進黨,216,0.1186,臺北市,大安區
45,親民黨,7202,3.9545,臺北市,大安區
46,安定力量,1841,1.0109,臺北市,大安區
47,台灣基進,3832,2.1041,臺北市,大安區
48,時代力量,14242,7.8200,臺北市,大安區
49,新黨,5727,3.1446,臺北市,大安區
50,喜樂島聯盟,380,0.2087,臺北市,大安區
51,中國國民黨,68942,37.8548,臺北市,大安區
52,一邊一國行動黨,604,0.3316,臺北市,大安區
53,勞動黨,142,0.0780,臺北市,大安區
54,綠黨,6515,3.5773,臺北市,大安區
55,宗教聯盟,158,0.0868,臺北市,大安區
56,民主進步黨,49930,27.4157,臺北市,大安區
57,台灣民眾黨,21335,11.7147,臺北市,大安區
58,台灣維新,156,0.0857,臺北市,大安區
59,台澎黨,39,0.0214,臺北市,大安區
60,國會政黨聯盟,474,0.2603,臺北市,大安區
61,台灣團結聯盟,284,0.1559,臺北市,大安區
64,合一行動聯盟,86,0.0607,臺北市,中山區
65,中華統一促進黨,182,0.1284,臺北市,中山區
66,親民黨,5909,4.1674,臺北市,中山區
67,安定力量,1010,0.7123,臺北市,中山區
68,台灣基進,3220,2.2709,臺北市,中山區
69,時代力量,11093,7.8235,臺北市,中山區
70,新黨,2608,1.8393,臺北市,中山區
71,喜樂島聯盟,302,0.2130,臺北市,中山區
72,中國國民黨,46573,32.8462,臺北市,中山區
